2016-06-22 10:18:57|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 10:19:58|Registró la pagina Servicios(id::16)|2|www.contenidos.devel/seguridad/pagina/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 10:20:09|Agregó permisos al tipo de administrador Administrador(id::1) - Seccion web Servicios(id::16)|2|www.contenidos.devel/seguridad/permiso/nuevo.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 12:02:20|Registro Servicio Centro de día (id::1)|2|www.contenidos.devel/seccion/servicio/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 12:25:01|Registro menú prueba de url(id::3)|2|www.contenidos.devel/configuracion/menu/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 14:17:42|Registro menú prueba de url(id::)|2|www.contenidos.devel/configuracion/menu/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 14:18:52|Registro Servicio Centro de día (id::2)|2|www.contenidos.devel/seccion/servicio/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 14:25:36|Editó serivicio Centro de día (id::1)|2|www.contenidos.devel/seccion/servicio/editar/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 14:28:09|Editó serivicio Centro de día (id::2)|2|www.contenidos.devel/seccion/servicio/editar/2|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 15:26:40|Editó serivicio Centro de día (id::2)|2|www.contenidos.devel/seccion/servicio/editar/2|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 15:28:24|Editó serivicio Centro de día (id::2)|2|www.contenidos.devel/seccion/servicio/editar/2|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 17:12:40|Registró la pagina Convocatorias(id::17)|2|www.contenidos.devel/seguridad/pagina/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 17:12:49|Agregó permisos al tipo de administrador Administrador(id::1) - Seccion web Convocatorias(id::17)|2|www.contenidos.devel/seguridad/permiso/nuevo.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 17:31:57|Registro Convocatoria Únete a nosotros (id::1)|2|www.contenidos.devel/seccion/convocatoria/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-22 17:54:11|Editó convocatoria Únete a nosotros (id::1)|2|www.contenidos.devel/seccion/convocatoria/editar/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
