2016-06-09 11:13:38|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 11:50:10|Registro banner banner_57599e4258c76 (id::5)|2|www.contenidos.devel/seccion/banner/nuevo/2|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 11:51:36|Registro banner banner_57599e986cddf (id::6)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 11:51:52|Registro banner banner_57599ea7c966c (id::7)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 11:58:11|Registro banner banner_5759a022e5927 (id::1)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:00:56|Registro banner banner_5759a0c8aa77f (id::2)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:03:03|Registro banner banner_5759a1478cd55.jpg (id::3)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:06:45|Registro banner banner_5759a22505c7b.jpg (id::4)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:09:19|Registro banner banner_5759a2bf88f1c.jpg (id::5)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:14:44|Registro banner banner_5759a40473144.jpg (id::6)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:15:18|Registro banner banner_5759a4265078c.jpg (id::7)|2|www.contenidos.devel/seccion/banner/nuevo/3|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:18:10|Registro banner banner_5759a4d2a0492.jpg (id::8)|2|www.contenidos.devel/seccion/banner/nuevo/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:18:18|Registro banner banner_5759a4da565ed.jpg (id::9)|2|www.contenidos.devel/seccion/banner/nuevo/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:18:28|Registro banner banner_5759a4e441189.jpg (id::10)|2|www.contenidos.devel/seccion/banner/nuevo/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 12:18:51|Registro banner banner_5759a4fb5e179.jpg (id::11)|2|www.contenidos.devel/seccion/banner/nuevo/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 14:22:46|Cerró session|2|www.contenidos.devel/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 14:24:17|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-09 14:26:43|Cerró session|2|www.contenidos.devel/seguridad/seguridad/logout.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
