2016-10-03 00:25:41|insertó  2700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:25:55|insertó  2800 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:26:08|insertó  2900 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:26:44|insertó  3000 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:26:59|insertó  3100 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:27:22|insertó  3200 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:27:36|insertó  3300 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:27:52|insertó  3400 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:28:15|insertó  3500 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:28:30|insertó  3600 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
2016-10-03 00:28:48|insertó  3700 registro(s) a CIE10|1|www.indicadores.devel|/archivos/upload/procesar/1.html|Mozilla/5.0 (Windows NT 6.1; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1|127.0.0.1
