2016-06-28 11:19:40|Inició session|2|www.contenidos.devel/seguridad/seguridad/ingresar_sistema.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 13:02:44|Registró la pagina Fundador(id::22)|2|www.contenidos.devel/seguridad/pagina/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 13:02:57|Agregó permisos al tipo de administrador Administrador(id::1) - Seccion web Fundador(id::22)|2|www.contenidos.devel/seguridad/permiso/nuevo.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 13:05:42|Editó la sede centro de reposo piura(id::1)|2|www.contenidos.devel/configuracion/sede/editar/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 14:46:22|Registró Directorio (id::4)|2|www.contenidos.devel/seccion/directorio/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 14:47:51|Registró fundador San Juan de Dios (id::1)|2|www.contenidos.devel/seccion/fundador/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 15:20:13|Registró fundador San Juan de Dios (id::2)|2|www.contenidos.devel/seccion/fundador/nuevo|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 15:20:35|Editó Fundador San Juan de Dios(id::2)|2|www.contenidos.devel/seccion/fundador/editar/2|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 15:21:17|Editó Fundador San Juan de Dios(id::1)|2|www.contenidos.devel/seccion/fundador/editar/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 15:21:38|Editó Fundador San Juan de Dios(id::1)|2|www.contenidos.devel/seccion/fundador/editar/1|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 16:36:49|Registró la pagina Ordenes(id::23)|2|www.contenidos.devel/seguridad/pagina/nuevo/3.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
2016-06-28 16:37:10|Agregó permisos al tipo de administrador Administrador(id::1) - Seccion web Ordenes(id::23)|2|www.contenidos.devel/seguridad/permiso/nuevo.html|Mozilla/5.0 (Windows NT 6.2; WOW64; rv:47.0) Gecko/20100101 Firefox/47.0|1
